,vendor,product_line,product,MD5,DSM,url,downloaded,exception_e
46,Synology,NAS,DS216play,d3daf16ed08ca765192cc5c76948ecf7,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS216play?version=7.1#system,NotImplemented,
47,Synology,NAS,DS216j,c5e511e5c6ce5d0ec9e7d787d7c2708b,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS216j?version=7.1#system,NotImplemented,
48,Synology,NAS,DS216se,2f3bd531246e9e7f96534ea15df2be0c,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS216se?version=7.1#system,NotImplemented,
49,Synology,NAS,DS215+,2f3bd531246e9e7f96534ea15df2be0c,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS215+?version=7.1#system,NotImplemented,
50,Synology,NAS,DS215j,091a90c36de92b6c1c105cd2f2827c11,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS215j?version=7.1#system,NotImplemented,
51,Synology,NAS,DS214+,c14c6bda52094c96ef0bff7bb1f49dca,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS214+?version=7.1#system,NotImplemented,
52,Synology,NAS,DS214,c14c6bda52094c96ef0bff7bb1f49dca,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS214?version=7.1#system,NotImplemented,
53,Synology,NAS,DS214play,dc20e0556c4da01cdcb0afd73198caea,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS214play?version=7.1#system,NotImplemented,
54,Synology,NAS,DS214se,f85d1e49a638d56bacfff9a5c414243c,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS214se?version=7.1#system,NotImplemented,
55,Synology,NAS,DS213+,35a3a3d37d7ac7f3b2c97c348f5fb33b,DSM 7.1.1,https://www.synology.com/en-global/support/download/DS213+?version=7.1#system,NotImplemented,
56,Synology,NAS,DS213,ab1552987bb63e9bc216ad8bf730d41e,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS213?version=6.2#system,NotImplemented,
57,Synology,NAS,DS213j,5e475e5ff282710f49b7ae87140cb1a9,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS213j?version=6.2#system,NotImplemented,
58,Synology,NAS,DS213air,10607bcbfa09d87d49fe5869c57c2ada,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS213air?version=6.2#system,NotImplemented,
59,Synology,NAS,DS212+,99ce051473adb652d0185558afb7dfed,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS212+?version=6.2#system,NotImplemented,
60,Synology,NAS,DS212,c187575893ccfa5829b2e918db334630,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS212?version=6.2#system,NotImplemented,
61,Synology,NAS,DS212j,c187575893ccfa5829b2e918db334630,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS212j?version=6.2#system,NotImplemented,
62,Synology,NAS,DS211+,40b9629e629a70a9fd016d5dee1f7307,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS211+?version=6.2#system,NotImplemented,
63,Synology,NAS,DS211,32d486c9d92c91821cd201f244714312,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS211?version=6.2#system,NotImplemented,
64,Synology,NAS,DS211j,32d486c9d92c91821cd201f244714312,DSM 6.2.4,https://www.synology.com/en-global/support/download/DS211j?version=6.2#system,NotImplemented,
